VLAN_CODE,VLAN_NAME,IP,MODELO,SERIE,UBICACION,DIRECCION,DISTRITO,PROVINCIA,DEPARTAMENTO,TIPO
010,010 - Ag. Andahuaylas,118.205.68.68,MX722adhe,7464939022R0V,Operaciones,av Peru 342,Andahuaylas,Andahuaylas,Apurimac,Contrato 2021
010,010 - Ag. Andahuaylas,118.205.68.69,MX722adhe,7464939022R32,Gerencia,av Peru 342,Andahuaylas,Andahuaylas,Apurimac,Contrato 2021
013,013 - Ag. Paseo la Castellana,118.205.70.68,MX722adhe,7464111124764,Gerencia,av Paseo la Castellana 103,Santiago de Surco,Lima,Lima,Contrato 2021
013,013 - Ag. Paseo la Castellana,118.205.70.69,MX722adhe,746411112475N,Plataforma,av Paseo la Castellana 103,Santiago de Surco,Lima,Lima,Contrato 2021
023,023 - Ag. Ovalo Quiñonez,118.205.74.70,MX522adhe,701701130LPDW,Territorial,av Guardia Civil 787,San Borja,Lima,Lima,Contrato 2021
023,023 - Ag. Ovalo Quiñonez,118.205.74.68,MX722adhe,746411112476N,Plataforma,av Guardia Civil 787,San Borja,Lima,Lima,Contrato 2021
023,023 - Ag. Ovalo Quiñonez,118.205.74.69,MX722adhe,746411112475C,Sala Prime,av Guardia Civil 787,San Borja,Lima,Lima,Contrato 2021
030,030 - Ag. Ovalo Larco Trujillo,118.205.76.68,MX722adhe,746410202415W,Sub Gerencia,Jr America del Sur 4040,Trujillo,Trujillo,La Libertad,Contrato 2021
030,030 - Ag. Ovalo Larco Trujillo,118.205.76.69,MX722adhe,74641050242T4,Plataforma,Jr America del Sur 4040,Trujillo,Trujillo,La Libertad,Contrato 2021
038,038 - Ag. Mantas,118.207.250.69,MX722adhe,74641101246L0,Sub Gerencia,Calle Portal  N 130 Mantas,Cusco,Cusco,Cusco,Contrato 2021
048,048 - Ag. Mega Exp VES,118.205.78.68,MX722adhe,7464111124759,Plataforma,av Lima 2500,Villa el Salvador,Lima,Lima,Contrato 2021
048,048 - Ag. Mega Exp VES,118.205.78.69,MX722adhe,7464111124752,Plataforma,av Lima 2500,Villa el Salvador,Lima,Lima,Contrato 2021
