CENTRO DE COSTO,AREA,UNIDAD,SUBUNIDAD,SEDE,OFICINA / AREA,UBICACIÓN,MODELO INSTALADO,SERIE,IP,DIRECCION,DISTRITO,PROVINCIA,DEPARTAMENTO,OWNER,TIPO
10,Banca Comercial,Gt Centro,Gt Centro,Provincia,Agencia Andahuaylas,Operaciones,MX722adhe,7464939022R0V,118.205.68.68,av Peru 342,Andahuaylas,Andahuaylas,Apurimac,Lexmark,Contrato 2021
10,Banca Comercial,Gt Centro,Gt Centro,Provincia,Agencia Andahuaylas,Gerencia,MX722adhe,7464939022R32,118.205.68.69,av Peru 342,Andahuaylas,Andahuaylas,Apurimac,Lexmark,Contrato 2021
13,Banca Comercial,Gt Surco La Molina,Gt Surco La Molina,Lima,Agencia Paseo La Castellana,Gerencia,MX722adhe,7464111124764,118.205.70.68,av Paseo la Castellana 103,Santiago de Surco,Lima,Lima,Lexmark,Contrato 2021
13,Banca Comercial,Gt Surco La Molina,Gt Surco La Molina,Lima,Agencia Paseo La Castellana,Plataforma,MX722adhe,746411112475N,118.205.70.69,av Paseo la Castellana 103,Santiago de Surco,Lima,Lima,Lexmark,Contrato 2021
23,Banca Comercial,Gt Lima Residencial,Gt Lima Residencial,Lima,Agencia Ovalo Quiñonez,Territorial,MX522adhe,701701130LPDW,118.205.74.70,av Guardia Civil 787,San Borja,Lima,Lima,Lexmark,Contrato 2021
23,Banca Comercial,Gt Lima Residencial,Gt Lima Residencial,Lima,Agencia Ovalo Quiñonez,Plataforma,MX722adhe,746411112476N,118.205.74.68,av Guardia Civil 787,San Borja,Lima,Lima,Lexmark,Contrato 2021
23,Banca Comercial,Gt Lima Residencial,Gt Lima Residencial,Lima,Agencia Ovalo Quiñonez,Sala Prime,MX722adhe,746411112475C,118.205.74.69,av Guardia Civil 787,San Borja,Lima,Lima,Lexmark,Contrato 2021
30,Banca Comercial,Gt Norte,Gt Norte,Provincia,Agencia Ovalo Larco Trujillo,Sub Gerencia,MX722adhe,746410202415W,118.205.76.68,Jr America del Sur 4040,Trujillo,Trujillo,La Libertad,Lexmark,Contrato 2021
30,Banca Comercial,Gt Norte,Gt Norte,Provincia,Agencia Ovalo Larco Trujillo,Plataforma,MX722adhe,74641050242T4,118.205.76.69,Jr America del Sur 4040,Trujillo,Trujillo,La Libertad,Lexmark,Contrato 2021
38,Banca Comercial,Division Sur,Oficina Cusco,Provincia,Agencia Mantas,Sub Gerencia,MX722adhe,74641101246L0,118.207.250.69,Calle Portal  N 130 Mantas,Cusco,Cusco,Cusco,Lexmark,Contrato 2021
48,Banca Comercial,Gt Sur Chico,Gt Sur Chico,Lima,Agencia Mega Exp Ves,Plataforma,MX722adhe,7464111124759,118.205.78.68,av Lima 2500,Villa el Salvador,Lima,Lima,Lexmark,Contrato 2021
48,Banca Comercial,Gt Sur Chico,Gt Sur Chico,Lima,Agencia Mega Exp Ves,Plataforma,MX722adhe,7464111124752,118.205.78.69,av Lima 2500,Villa el Salvador,Lima,Lima,Lexmark,Contrato 2021
60,Red Comercial,Division Cusco,AEP Urubamba,Provincia,Agencia AEP URUBAMBA,Sub Gerencia,MX722adhe,74641101246L5,118.206.226.68,Jr Sucre 348,Urubamba,Urubamba,Cusco,Lexmark,Contrato 2021
81,Banca Comercial,Gt Oriente,Gt Oriente,Provincia,Agencia Bagua Grande,Sub Gerencia,MX722adhe,7464939022R4B,118.205.90.68,av Chachapoyas 2044 Sector Visalot,Bagua Grande,Utcubamba,Amazonas,Lexmark,Contrato 2021
81,Banca Comercial,Gt Oriente,Gt Oriente,Provincia,Agencia Bagua Grande,Plataforma,MX722adhe,7464939022P66,118.205.90.69,av Chachapoyas 2044 Sector Visalot,Bagua Grande,Utcubamba,Amazonas,Lexmark,Contrato 2021
83,Banca Comercial,Gt Sur,Gt Sur,Provincia,Agencia Real Plaza  Cusco,Operaciones,MX722adhe,7464939022PCF,118.205.92.68,av Collasuyo 2964,Cusco,Cusco,Cusco,Lexmark,Contrato 2021
