fines ,C.C.,Direcci—n IP Nacar
BOLIVAR,118,118.64.88.210
AEROPUERTO,162,118.65.8.210
 ABANCAY CONGRESO,361,118.68.36.210
ANDAHUAYLAS,710,118.62.169.210
APOLO,163,118.65.12.210
ARAMBURU,187,118.65.109.210
ARENALES,147,118.64.206.210
AREQUIPA,220,118.65.243.210
AV CENTRAL,359,118.68.29.210
AV PERU,141,118.64.180.210
ANGAMOS ESTE,616,118.72.32.210
AV SUCRE,170,118.65.40.210
AVIACION,355,118.68.13.210
BENAVIDES,367,118.68.60.210
BRE„A,108,118.64.48.210
CALLAO,102,118.64.24.210
BARRIO COMERCIO,797,118.74.244.210
AYACUCHO,202,118.65.168.210
BACKUS,315,118.67.108.210
CAMANA LIMA,101,118.64.20.210
CAMINO REAL,123,118.64.108.210
CAMINOS DEL INCA,713,118.245.92.210
CANADA ROSA TORO,341,118.67.212.210
CANAVAL Y MOREYRA,387,118.68.141.210
CANTO GRANDE,322,118.67.136.210
CAPON,103,118.64.28.210
CARABAYLLO,842,118.75.168.210
CAVENECIA,179,118.65.76.210
CAYMA,223,118.68.205.210
CC ATOCONGO,261,118.66.148.210
CC AURORA,138,118.64.169.210
CC FIORI,172,118.65.49.210
CC LAS GARDENIAS,157,118.64.244.210
CC MONTERRICO,160,118.65.0.210
CC REAL PLAZA PRO,253,118.66.116.210
CC SAN ISIDRO,142,118.64.184.210
CC SAN MIGUEL 1,190,118.65.121.210
CC SUCRE,148,118.64.208.210
CC. CANTA CALLAO,259,118.245.6.210
CEDROS DE VILLA,849,"118,245,114,210"
CERES,146,118.64.200.210
CHACARILLA,194,118.65.136.210
CHANCAY,264,118.66.161.210
CHICLAYO,285,118.66.246.210
CHIMBOTE,295,118.67.30.210
CHORRILLOS,125,118.64.116.210
CHOSICA,345,118.67.228.210
COLONIAL,166,118.65.24.210
COMAS,116,118.64.80.210
COVIDA,396,118.68.176.210
DOS DE MAYO,189,118.65.116.210
EL AGUSTINO,269,118.245.17.210
DOMINGO CUETO,353,118.68.4.210
EL MURO,256,118.66.128.210
EL SOL,832,118.75.128.210
EL TREBOL,176,118.65.64.210
CAMACHO,178,118.65.73.210
ESSALUD,320,118.67.128.210
VITARTE,129,118.64.132.210
VILLA MARIA DEL TRIUNFO,133,118.64.148.210
FAUCETT,107,118.64.44.210
VENEZUELA 2,132,118.64.144.210
CLUB REGATAS LIMA,121,118.64.100.210
COMANDANTE ESPINAR,169,118.65.36.210
CUARTEL GENERAL DEL EJERCITO,195,118.65.141.210
CUSCO,200,118.65.162.210
VILLA EL SALVADOR,323,118.67.140.210
DAMERO GAMARRA,242,118.66.72.210
VICTOR ANDRES BELAUNDE,143,118.64.188.210
VENEZUELA 3,164,118.65.16.210
VENTANILLA,339,118.67.204.210
EL PINO,335,118.67.189.210
EL PUERTO,381,118.68.117.210
EL REMANSO,106,118.64.41.210
EXPRESS MALA,868,118.76.17.210
